Standard Resolution inset: x,y,d in mm
-16.5000,0.0000,0.8000
-16.5000,1.6000,0.8000
-16.5000,3.2000,0.8000
-16.5000,4.8000,0.8000
-18.1000,0.0000,0.8000
-18.1000,1.6000,0.8000
-18.1000,3.2000,0.8000
-18.1000,4.8000,0.8000
-19.7000,0.0000,0.8000
-19.7000,1.6000,0.8000
-19.7000,3.2000,0.8000
-19.7000,4.8000,0.8000
-21.3000,0.0000,0.8000
-21.3000,1.6000,0.8000
-21.3000,3.2000,0.8000
-21.3000,4.8000,0.8000
-14.9243,-0.2778,0.8000
-13.3486,-0.5557,0.8000
-11.7729,-0.8335,0.8000
-16.7778,-1.5757,0.8000
-15.2021,-1.8535,0.8000
-13.6265,-2.1314,0.8000
-12.0508,-2.4092,0.8000
-17.0557,-3.1514,0.8000
-15.4800,-3.4292,0.8000
-13.9043,-3.7071,0.8000
-12.3286,-3.9849,0.8000
-17.3335,-4.7271,0.8000
-15.7578,-5.0049,0.8000
-14.1821,-5.2828,0.8000
-12.6064,-5.5606,0.8000
-5.9200,0.0000,0.7000
-5.9200,1.4000,0.7000
-5.9200,2.8000,0.7000
-5.9200,4.2000,0.7000
-7.3200,0.0000,0.7000
-7.3200,1.4000,0.7000
-7.3200,2.8000,0.7000
-7.3200,4.2000,0.7000
-8.7200,0.0000,0.7000
-8.7200,1.4000,0.7000
-8.7200,2.8000,0.7000
-8.7200,4.2000,0.7000
-10.1200,0.0000,0.7000
-10.1200,1.4000,0.7000
-10.1200,2.8000,0.7000
-10.1200,4.2000,0.7000
-4.5413,-0.2431,0.7000
-3.1625,-0.4862,0.7000
-1.7838,-0.7293,0.7000
-6.1631,-1.3787,0.7000
-4.7844,-1.6218,0.7000
-3.4056,-1.8649,0.7000
-2.0269,-2.1081,0.7000
-6.4062,-2.7575,0.7000
-5.0275,-3.0006,0.7000
-3.6488,-3.2437,0.7000
-2.2700,-3.4868,0.7000
-6.6493,-4.1362,0.7000
-5.2706,-4.3793,0.7000
-3.8919,-4.6224,0.7000
-2.5131,-4.8655,0.7000
3.2600,0.0000,0.6000
3.2600,1.2000,0.6000
3.2600,2.4000,0.6000
3.2600,3.6000,0.6000
2.0600,0.0000,0.6000
2.0600,1.2000,0.6000
2.0600,2.4000,0.6000
2.0600,3.6000,0.6000
0.8600,0.0000,0.6000
0.8600,1.2000,0.6000
0.8600,2.4000,0.6000
0.8600,3.6000,0.6000
-0.3400,0.0000,0.6000
-0.3400,1.2000,0.6000
-0.3400,2.4000,0.6000
-0.3400,3.6000,0.6000
4.4418,-0.2084,0.6000
5.6235,-0.4168,0.6000
6.8053,-0.6251,0.6000
3.0516,-1.1818,0.6000
4.2334,-1.3901,0.6000
5.4152,-1.5985,0.6000
6.5969,-1.8069,0.6000
2.8432,-2.3635,0.6000
4.0250,-2.5719,0.6000
5.2068,-2.7803,0.6000
6.3886,-2.9887,0.6000
2.6349,-3.5453,0.6000
3.8166,-3.7537,0.6000
4.9984,-3.9621,0.6000
6.1802,-4.1704,0.6000
11.0600,0.0000,0.5000
11.0600,1.0000,0.5000
11.0600,2.0000,0.5000
11.0600,3.0000,0.5000
10.0600,0.0000,0.5000
10.0600,1.0000,0.5000
10.0600,2.0000,0.5000
10.0600,3.0000,0.5000
9.0600,0.0000,0.5000
9.0600,1.0000,0.5000
9.0600,2.0000,0.5000
9.0600,3.0000,0.5000
8.0600,0.0000,0.5000
8.0600,1.0000,0.5000
8.0600,2.0000,0.5000
8.0600,3.0000,0.5000
12.0448,-0.1736,0.5000
13.0296,-0.3473,0.5000
14.0144,-0.5209,0.5000
10.8864,-0.9848,0.5000
11.8712,-1.1585,0.5000
12.8560,-1.3321,0.5000
13.8408,-1.5058,0.5000
10.7127,-1.9696,0.5000
11.6975,-2.1433,0.5000
12.6823,-2.3169,0.5000
13.6671,-2.4906,0.5000
10.5391,-2.9544,0.5000
11.5239,-3.1281,0.5000
12.5087,-3.3017,0.5000
13.4935,-3.4754,0.5000
17.4600,0.0000,0.4000
17.4600,0.8000,0.4000
17.4600,1.6000,0.4000
17.4600,2.4000,0.4000
16.6600,0.0000,0.4000
16.6600,0.8000,0.4000
16.6600,1.6000,0.4000
16.6600,2.4000,0.4000
15.8600,0.0000,0.4000
15.8600,0.8000,0.4000
15.8600,1.6000,0.4000
15.8600,2.4000,0.4000
15.0600,0.0000,0.4000
15.0600,0.8000,0.4000
15.0600,1.6000,0.4000
15.0600,2.4000,0.4000
18.2478,-0.1389,0.4000
19.0357,-0.2778,0.4000
19.8235,-0.4168,0.4000
17.3211,-0.7878,0.4000
18.1089,-0.9268,0.4000
18.8968,-1.0657,0.4000
19.6846,-1.2046,0.4000
17.1822,-1.5757,0.4000
17.9700,-1.7146,0.4000
18.7579,-1.8535,0.4000
19.5457,-1.9924,0.4000
17.0432,-2.3635,0.4000
17.8311,-2.5025,0.4000
18.6189,-2.6414,0.4000
19.4068,-2.7803,0.4000
